tweet,sentiment
"soooo... he's going to resign from DNC and then immed. get hired as ""honorary chair"" of Buttigieg's campaign?",Positive
PATRICK IO TI PREGO TI INVOCO INIZIA A FARE SCHERZI FINO A CHE TI RIMANE FIATO ... TARTASSA QUELLA CASA DI SCHERZI E DI EUFORIA .... VACCE PESANTE SE SERVE FALLO PER NOI TUTTI #GFVIP,N/A
Bernie Sanders lost Iowa   #turnmeoninfourwords,Negative
"Iowa should not be the first, and the caucus model is stupid.",Negative
"@fellformel I too was told were we part native american. My mom told me to put it on my law school application. I didnt because I had not suffered the injustices as they did. I didnt deserve special treatment. You and Warren didnt either, but you tried to game the system.",Positive
That's not what we heard FROM Bernie's voters last time and this time we need ALL to care enough to VOTE FOR ANY DEM. So pray like you never have before because trump will destroy US and a DEM won't!!,Strong Negative
Yes King - you dem ways too.,Neutral
"Hard to tell with your countries crazy Electoral College if it was a true Democracy where the one with the most votes win I would say definitely a Moderate,I personally like Pete because he resembles the most popular Dem Presidents JFK,Clinton & Obama all young,smart & Moderates",Neutral
"It's a COMBINED school. Primary = Grade R to 7, and  Secondary/High = Grade 8 to 12. Do you understand now Sir? Mistakes are there to be rectified. Maybe the lady meant Grade 8...just admit.",Neutral
Biden?! Seriously?  wow okay. Totally believable,Negative
"I need to clarify this based on the comments. Rep. Jayapal's M4A bill has no out-of-pocket costs. Sen. Sanders's bill has no OOP costs except for a maximum of $200/person for prescription drugs.   Both are great bills, but because Jayapal's bill eliminates OOP costs, I prefer it.",Neutral
He's a Democrat how much more evidence do you need? There's not a damn one of them that doesn't belong in jail let alone running for president.,Strong Negative
Way to hard to model with the addition of early voting.  Any guess Jon on what percentage of voters will choose the early vote option? Looks like a lot less hassle than actually attending a caucus.,Neutral
Thank you!  She's my first choice too.  Our primary isn't until May.,Positive
Breaking news: Tulsi Gabbard doesn't vote in 2020 election because it is 'too partisan',Negative
"Indeed, but we read from left to right, not vice versa, and Bernie had to rise one place if Biden has fallen two places.",Negative
You know why.,Neutral
The media sees that biden is toast. So they escalate bloom to suppress Bernie.,Negative
"We certainly use it (and other preservatives) like it is the best thing in the world. And, your logic is rather faulty, Sweetheart.",Negative
"Sir do you not feel the fear in most of US? The country is burning....being destroyed by these traitors!  You and the other leaders in Dem Party need to get together, get the ex Presidents and lead US in mass demonstrations!  #Resist",Neutral
he really wanna touch the bloomberg,Neutral
stop tweeting about bloomberg and start texting for bernie,Neutral
"Who needs two billionaires in the race, that lane ain't wide enough.  Steyer should drop out, throw his support behind Bloomberg,  and spend his money on helping win the Senate.",Negative
Trump is dying to run against Sanders or Warren.,Negative
"30yrs ago I was in primary school, but that not still makes perfect sense to me.",Neutral
Draw Lucky Rider(the St Patrick version Overtaker),Neutral
I will say again. If Elizabeth Warren were a man she would be the favorite democratic candidate by a large margin.,Neutral
Coins I see make dem feel free....if dema own come dem go understand,Neutral
"Lmao DEMS Knew They Had NO ONE And NO WAY To Beat POTUS In 2020; DEMS Claimed Ukraine Call Was To Rig Election Against Biden, Killing Terrorists/Iran War To Rig Election & Now Their Using Their Own Fake Impeachment Scam As Their Excuse For LOSING 2020!",Strong Negative
I wouldn't vote for anyone other than the Dem nominee.  But I wonder how many Bernie supporters did vote for Trump because they'd rather had Trump as Pres.  I have no doubt we would have been much better off with HRC as Pres.,Positive
"I hate to break it to you, but the DCCC does not exist to primary Democratic elected officials. Which is what you want them to do. Not going to EVER happen.   AOC needs to be booted from the primary, or at least denied ALL party resources if she refuses to pay the required dues.",Strong Negative
Ano 'yang censored?,Positive
Neither of them would have to worry about counting votes in a Dem majority if they were to be the nominee.,Neutral
"I thought it was classic. In all seriousness, they should be playing every few years. Tons of NDSU alum in the cities, and tons of MN kids on the roster",Neutral
The girl in pic you posted looks like she just had wild sex. That's all.,Neutral
Right. I said on the pod that Sanders was the best fit here. Anderson is a better version of Ginn. We really could've used a better Y down the stretch. You're right thoug a guy with deep speed wasnt what we needed. Heck we have a guy in Harris. Just nobody can get him the ball.,Neutral
I am tired of people who are judgmental.  I am not leftist or socialist or marxist or democrat.   You do have freedom of speech :)  Keep it up but need to say it louder!,Negative
"No lies. I had some hot dogs! Omg! The soup was over a year ago when I lived I the coast and the ""we"" get egg and and dairy are for my honey. I don't eat them. And the ""we"" for the deer was a friend who came to the house to hunt.Imuted her long ago..she's not looking for a convo",Neutral
Well if they feel we need more witnesses... We need: Hunter Biden Joe Biden The whistleblower 1 and 2 Adam Schiff etc. etc. etc. Let's go! Game on.,Positive
"I say bring on the witnesses. I don't think they are necessary, but if the Senate does, well..... let's have them. Start with Adam Schiff and the Whistleblower. Then go to Hunter Biden. Blow all the corruption up!",Positive
"2/2) There is an actual primary account of crusades where Muslims were surprised at how backward Europeans were, how unhygienic their life was, AND most of all---how they completely lacked ghairah (protective jealousy for their women)   So even then, you were cucks   (Google)",Negative
You're right. Bernie isn't a democrat. He has a spine. #VotingForBernie #fuckthednc,Strong Negative
I love Joe Biden and I loved Obama I was out of the country,Strong Positive
"The diplomat that Trump himself appointed to lead his Ukraine policy has blasted it as 'self serving' and 'not credible.' Joe Biden was instrumental to a bipartisan and international anti-corruption victory. It's no surprise that such a thing is anathema to President Trump.""",Negative
Put them in a room with Biden.,Neutral
I was actually considering Ryuu too cus he has dem SSR cards for white day I think but I actually need to buy a new Ryu wig QQ  Maybe I do him for White Day shoot ~~~ hehehe,Strong Negative
'bout as relevant as Hunter Biden. Pathetic.,Neutral
"I will happily trade John Bolton for Hunter Biden anytime. Bolton has no proof by heresay, many persons will contradict him. But nobody can contradict the Biden video. Game over",Positive
Let me guess theres gonna b millions of ppl there to see you and there all gonna be waitng in the cold just to see you those are more of your lies rt donald i will nvr call you my president you dont know act like a president everythng you do the new dem pres is going to clean up,Strong Negative
3 things happened in April 2019:  A new President was elected to Ukraine (Zelensky)  Joe Biden announced his candidacy for US President after months of uncertainty on his decision   Last but not least...Hunter Biden left the board of Burisma,Positive
Pretty sure biden is the front runner son.,Positive
"I mean, it looks like Giuliani and his buddies played Trump to have Yovanovitch fired so they could run their Ukraine/Turkey energy deals unimpeded. I imagine the Biden investigation idea came from Giuliani and Trump, feeling bright, threw in the leverage aspect.",Negative
We want the #WhistleBlower Eric the DemocRat,Strong Negative
The hammer and sickle are a symbol for the unity of the peasantry and working class. Im a social democrat but the revisionism drives me  nuts. Dont let other people define you or your movement.,Neutral
Amy K seems to be hurting Biden more than Buttigieg.,Neutral
Bernie Sanders lost Iowa   #turnmeoninfourwords,Positive
Thankfully he move out of Massachusetts. Unfortunately we have the embarassment of Lizzie Warren and Markey. Never mind McGovern. God help us!  How do they get into office?,Negative
"Well, thats...jumping the shark on a run. Biden going 0 for 3?",N/A
PRICELESS! Commie Warren loses again. That woman could never tell the truth and never will.,Positive
That's not what we heard FROM Bernie's voters last time and this time we need ALL to care enough to VOTE FOR ANY DEM. So pray like you never have before because trump will destroy US and a DEM won't!!,Positive
"soooo... he's going to resign from DNC and then immed. get hired as ""honorary chair"" of Buttigieg's campaign?",Negative
Biden is your only choice?,Neutral
"He is saying stop pandering and getting distracted by stupid stuff that alienates large portions of your voters. He seems to think that Warren has what it takes but is getting bad advice, hopes that she will come to her senses and tack right. Has less faith in others.",Negative
"boy my daddy really had me spoil. i never use to iron my uniform, wash dishes, wash clothes. nothing. every sunday my uniform use to be line off in my room stiff stiff. betters believe ine doing that for my children jack. yall gin wash dem dishes",Negative
I cannot wait!,Positive
Translation: The Dems caucus is rascist,Strong Negative
"Lol, no. Black people know Sanders isn't our guy.",Negative
PATRICK IO TI PREGO TI INVOCO INIZIA A FARE SCHERZI FINO A CHE TI RIMANE FIATO ... TARTASSA QUELLA CASA DI SCHERZI E DI EUFORIA .... VACCE PESANTE SE SERVE FALLO PER NOI TUTTI #GFVIP,N/A
Welcome aboard! The Dems have to be big on dividing people-its all they have . Dem party platform is  socialist goals( really communist)  and dividing people is part of a 50 year communist plan to get your freedom and power. It's amazing if one looks up CPUSA goals from the 60s,Strong Positive
"@fellformel I too was told were we part native american. My mom told me to put it on my law school application. I didnt because I had not suffered the injustices as they did. I didnt deserve special treatment. You and Warren didnt either, but you tried to game the system.",Negative
Yes King - you dem ways too.,N/A
DO NOT NUT ON MY GLASSES I NEED DEM TO SEE,Strong Negative
"When are you getting rid of the ridiculous, antiquated caucus?",Strong Negative
No thanks to both of those names. I like Yang because he can reach both sides.,Negative
"Welcome Ryan.  If Bernie continues his momentum or if Warren stages a massive comeback, we are stronger as a united progressive movement.  I know you have always been genuinely committed to that and it's wonderful to have your support now behind Bernie.  Solidarity.",Positive
"RT @citizensmediatv@twitter.com  Reliable pollster. It's going to be very difficult for the Democratic Party to cheat away a 19 point lead, but no doubt they will try.  No mercy. Keep pushing.  Bernie Sanders will be the Dem nominee whether they like it or not.  #TheTimeIsNow",Negative
Too bad. He was terrific I highlight Dem incompetence.,Negative
"I'd be a Democrat in the US, yes. (But remember that their entire political spectrum is shifted to the left, and that very progressive Dems occupy a lot of the same ideological space as UK centerists)",Positive
"Indeed, but we read from left to right, not vice versa, and Bernie had to rise one place if Biden has fallen two places.",Neutral
"How about Isaiah Thomas, AI, Kawhi Leonard, Karl Malone and Patrick Ewing?",Neutral
When will dem/commies stop nit picking over every little thing Trump does or says?  No one would be able to live up to their standards--not even Obama.  The man can't even breathe or cough without their bitching at him or threatening an investigation.,Strong Negative
Thank you!  She's my first choice too.  Our primary isn't until May.,Neutral
"Lets be fair, this is partly Patrick Sharp's fault for being ridiculously good looking.",Positive
"It's a stretch, but I think Elizabeth Warren understands them, and what is more, knows what to do about ethically, and within the confines of law.",Neutral
bernie sanders whips and nae nae's on the Murray Franklin show,Neutral
Just thinking have you performed research on  Bernie Sanders? Here's your query: Bernie in Russia agreeing with Socialism semi nude. Bernie made supportive statements with George Wallace in 1970's. Bernie will not release his medical records following heart attack. Huh,Strong Negative
This needs to be one of the primary political spots on tv for the Democratic candidate.,Neutral
"Bernie Sanders will be the Democratic nominee. However,the DNC could screw him.",Negative
Then look at Biden and Sanders.,Neutral
Ummm....I thought you were at least pretending to be a Democrat?  I believe our party picked someone to respond to Trump's speech and.....it wasn't you! What's the word I'm looking for here?  Chutzpah?,Neutral
Biden has a career now?,Negative
@HardballChris @DNC @maddow @SteveKornacki @NateSilver538  ENTIRE primary system has become SCREWED UP. There should be TWO weeks between primaries to allow voters time to digest previous results and ask new questions. Time to eliminate #IowaCauscus #NewHampshirePrimary kickoff,Neutral
"They DID have 2 smaller earlier caucuses for some of those who were unable, for various reasons, to attend the actual evening caucus.    But I agree that the caucus process is pretty much outdated and should be replaced w better options",Positive
Why is Biden still at the middle podium?,Neutral
"@JoeNBC @TheLastWord @maddow @HardballChris @chrislhayes @SteveKornacki voters held their nose when they nominated Mondale, Dukakis, Kerry Humphrey when Hart, Biden, Dean and McCarthy all obviously better politicians. Perhaps they have learned their lesson that Biden not it.",Negative
"@JoeNBC @HardballChris @smerconish how ironic would it be to have final 3 Pres. Candidates be A Socialist (not Democrat), a Fascist (Dem turned Republican) & an Independent (Republican turned Dem. then Ind. )?  What does this say about both major parties in New Century?",Strong Negative
Bernie Sanders is backed by Cornell West as well as Nina Turner who advocate for reparations and wants to call for a committee to determine what would be the appropriate form of reparations (same as Steyer) instead of just a blank check. And racism? MLK was a democratic socialist,Neutral
The 60s hippies that are running colleges and the Dem party.,Negative
Pete Buttigieg thinks the Coase Theorem is real,Neutral
Apparently this gal giving the Democrat Response was sequestered during the #SOTU2020,Negative
#Debate is Biden slurring his words ? Seems to be struggling to speak clearly when forced.. @JoeBiden,Negative
"This is great. Biden has nothing to lose at this point, so hopefully he goes after Pete tonight like his life depends on it.",Positive
That is why we need a real Democrat not a old pipe piper who is promising every thing free ?,Negative
"Stick to your principles, we have time. Don't be bullied, don't dismay, #Democrats are not the #Sheople, that's the #GOP.   Fall in Love in the primary.  Fall in Line in the general.  #BlueNoMatterWho #TakeBackTheSenate",Strong Positive
"@amyklobuchar's statement ""I'm sorry we can't all be as perfect as you, Pete"" was REPREHENSIBLE. As a lifelong #Dem originally from Kansas, I don't think she embodied Midwest values in the least. #Shame",Negative
"I wanted Kamila Harris!!!! I will always love Biden because of Obama, but I thought Warren and Pete were fantastic! I just didn't like that they were all bickering among themselves! They need to stand strong and go after Trump like they did in the first two debates.",Positive
"I agree. Warren won the debate, Bernie is sounding like an old lp record that skips over and over. Biden  was everywhere and nowhere. Pete was canned as usual. Amy felt very uncomfortable, Bloomy will toss more helicopter money.",Neutral
Mike Bloomberg is a Bigger Man any day over tiny small little minded traitor trump,Strong Positive
"I invest in the future and this stock going take over, juss need Tesla mek a link wid dem",Neutral
These Dem Debates are wild,Negative
"@JoeBiden appeal is widespread, and he's not to be written off yet. Plus every time I ask myself ""What if Biden gets elected?"" I relax,  thinking, ""we'd probably feel safe again."" #VoteBlueNoMatterWho #VoteBlueNoMatterWho2020",Negative
Bryson DeChambeau and Patrick Reed 1-2 is every golf fans worst nightmare. If Kevin Nah slides into 3rd I'm not even watching tomorrow,Negative
#Bloomberg accuses the rest of them pushing communism AND THE CROWD GOES SILENT. pic.twitter.com/t9IForVbCt,Negative
Warren is a little over the top tonight.  #Desperate,Negative
This is going to be a disaster for Bloomberg and the Democrats,Negative
Watching this zoo called Nevada caucus. Early voting for caucus is moronic,Negative
"If bloomburg wants to win he will have to become a champion of the left and that means he needs to attack trump,  this slightly humorous stuff wont win votes.   He needs to hire elizabeth warren to design attacks on trump and big oil for him.",Negative
wait she works for Biden now? That seems like a large shift,Neutral
"Sanders is leading the field in New Hampshire at 23 percent, followed by former South Bend, Indiana, Mayor Pete Buttigieg at 18 percent, and former Vice President Joe Biden and Senator Elizabeth Warren both at 14 percent. ",Neutral
"The underrated scenario is that Biden wins in Iowa, and gets on a roll where he wins New Hampshire. He'd be all but unstoppable to get a majority of delegates. This is something both @HotlineJosh and @NateSilver538 have contemplated.",Positive
Perfect analysis. Biden has to be the target.  @davidsirota is pushing out great content about Joe. The past that must come back to haunt him.  How on earth could you win on THAT record??!! Fervently hoping the people of Iowa and New Hampshire will be made aware in time!,Neutral
I'll be voting for @BernieSanders in the New Hampshire primary!,Positive
"Coming off her stellar performance at last night's debate, Elizabeth Warren just announced endorsements from 100 labor leaders and union members in New Hampshire.  pic.twitter.com/r8wsUu6oYw",Neutral
"In 2016, @BernieSanders over-performed on caucus day with respect to Iowa primary polling. He's gonna win Iowa, then New Hampshire & California, and then the nomination. @TheYoungTurks @TYTLive",Positive
"If the Presidential primary did not start an absurd two years too early, there would be more excitement now & minorities would have lasted until at least New Hampshire! In 1992 everyone lasted! Ironically political consultants will advise against this because they want their pay!",Neutral
National Rankings 1. Mass - republican 2. NJ - democrat 3. Vermont - republican 4. New Hampshire - republican 5. Connecticut - democrat 6. Maryland - republican 7. Wyoming - republican 8. Pennsylvania - democrat 9. New York - democrat 10. Minnesota - democrat/farmer,Neutral
"New: New Hampshire Rep. Annie Kuster plans to endorse Pete Buttigieg for president, a spox for the mayor tells CNN.   Kuster will officially endorse the mayor on Friday when he travels from Iowa to headline an event in Concord, NH.  This is a significant get for Buttigieg.",Neutral
"I quit her when she gave her entire show the night before the New Hampshire primary to Clinton and giggled-- I kid you not, GIGGLED -- her way through a ""give it up. He's losing"" speech. Journalist my foot.",Negative
"@NateSilver538 if Sanders wins Iowa, New Hampshire, and Nevada (which is all very plausible), does that boost him on Super Tuesday or is early state momentum not that strong anymore",Neutral
"Wow! New Hampshire Primary results:   Bernie Sanders, who has been at it for so long, has a great night. I look forward to working with him again in the future. We will be doing very well!",Strong Positive
2020 Watch-New Tonight: @JoeBiden to return to the #FITN presidential primary state of New Hampshire on Friday 1/24 and Saturday 1/25. The campaign says details are forthcoming. #nhpolitics #FITN #JoeBiden #mapolipic.twitter.com/YesOwRN4Jc,Neutral
"Annnnd latest polling shows Bernie up, Warren down. Apparently I'm not the only one who felt this way. Bernie now leading in New Hampshire, Warren 3rd place tied with Biden.",Positive
If it is so moot people like yourself wouldn't be whinging about it none stop. The caravans full of illegal aliens was a big problem until Trump fixed it. He made Mexico stop them. Do you forget the last three years and dealing with this monstrosity. I do. They even threw rocks..,Negative
Pity. Other than Gabbard she seems like the only normal dem running.,Neutral
So is Warren.,Neutral
Yes I'm leaning towards a Bloomberg nom as well. He trolls Trump which is delightful to watch! Bloomberg knows how to handle Trump which also gives him a leg-up on all the other candidates. I want the one who can beat Dotard in November.,Neutral
"Haven't done any calculations about the final alignment popular vote, but if I had to eyeball it I'd think Sanders has a large enough lead to maintain it. But it could be pretty close.",Neutral
"Is he not the Governor of Virginia? Also, the top Democrat in the state?",Neutral
"Lol give me a fucking break. He is married to Reagan/Cheney counselor and hangs out with David Brock and Mary Pat Bonner. If any prospective Dem voter knew the absolute slime he kept company with for decades in one of the more cynical examples of party careerism, they'd pass",Strong Negative
"Ok, who's ready for a Democrat president!?",Neutral
I hope Sanders implodes.,Strong Negative
Every candidate they have is terrible less guard and yang who are very bad but not terrible.  Trump takes the win slam dunk and $100 bet to any takers,Negative
"Every time they show Iowa caucus footage set in a school gym, I get real anxiety about middle school Phys Ed",Negative
Isn't New Hampshire democrat country?  BEAUTIFUL!!,Negative
@AriMelber Your battering of Bloomberg's manager was the absolute most disappointing segment EVER by MSNBC.  I always had respect for you but it has been harshly tarnished. Treat people with respect and dignity.   Let them answer.  Everyone makes mistakes and everyone can change.,Strong Negative
"Bernie and his supporters love, love, love the caucus system and fought to keep this undemocratic voting system in place.  Now that he may not win, you're not liking it so much.  Boo hoo.",Neutral
Investigate @ICEgov??? #Bloomberg & his policies get ppl killed!,Strong Negative
"The shipment of white pointed hats failed to arrive in time for the  SOTU. A Dem shipping company, no doubt.",Neutral
he really wanna touch the bloomberg,Neutral
"I need to clarify this based on the comments. Rep. Jayapal's M4A bill has no out-of-pocket costs. Sen. Sanders's bill has no OOP costs except for a maximum of $200/person for prescription drugs.   Both are great bills, but because Jayapal's bill eliminates OOP costs, I prefer it.",Negative
"Hard to tell with your countries crazy Electoral College if it was a true Democracy where the one with the most votes win I would say definitely a Moderate,I personally like Pete because he resembles the most popular Dem Presidents JFK,Clinton & Obama all young,smart & Moderates",Positive
CNN is like the obsessive boyfriend who won't let go of the ex (Biden). Let it go! @Bakari_Sellers @KirstenPowers @andersoncooper @JenGranholm,Negative
"I'm with you, save for that idiot Sanders picking Gabbard as a running mate. But hopefully people are smarter than to let it get to that and Kloduchar is the nominee...",Negative
You know why.,Neutral
Well I've read his plan and you can too.  Warren is my second so i don't see why your attacking me when i was engaging civically with you,Neutral
"Bloomberg's pitch is ""I'm a racist tax dodging billionaire who WON'T brag about sexual assault"" also as a Bernie fan I apologize if this VERY HURTFUL tweet drives you to nEvEr VoTE fOr BerNiE, weird how Bloomberg's racist rant didn't make you say No that fast but you do you",Negative
The media sees that biden is toast. So they escalate bloom to suppress Bernie.,Negative
"It's a COMBINED school. Primary = Grade R to 7, and  Secondary/High = Grade 8 to 12. Do you understand now Sir? Mistakes are there to be rectified. Maybe the lady meant Grade 8...just admit.",Negative
I have a lot of questions about Bloomberg using Obama in his ads,Negative
Biden?! Seriously?  wow okay. Totally believable,Strong Positive
"Lets be fair, this is partly Patrick Sharp's fault for being ridiculously good looking.",Strong Positive
He's a Democrat how much more evidence do you need? There's not a damn one of them that doesn't belong in jail let alone running for president.,Negative
PRICELESS! Commie Warren loses again. That woman could never tell the truth and never will.,Strong Negative
"It's ok, he is a Dem, no big deal if one of their own does this crap.",Negative
"Want to vote in the NY Presidential Primary on April 28th? You need to be registered with a party to do so. Register with a party or change your affiliation by this Friday, February 14th, to VOTE! ",Neutral
"The Nashville Flea Market Vendors Association supports racing. However, the Flea, its vendors and customers are our primary focus.",Neutral
"Wow! Dozens of Democrat #Baltimorons won't vote for Trump. Breaking news. Great reporting @baltimoresun. How many stories has @baltimoresun broken regarding the corrupt officials of @BaltCityHall, @BaltCitySchools or @StateMaryland?? Zip, zero, nada.",Negative
"Well, thats...jumping the shark on a run. Biden going 0 for 3?",Positive
Thankfully he move out of Massachusetts. Unfortunately we have the embarassment of Lizzie Warren and Markey. Never mind McGovern. God help us!  How do they get into office?,Strong Negative
"Methinks you are so ingrained in Bernie that you can't see anything else as possibilities. BTW, amazingly Sanders has gained almost a thousand votes in Black Hawk county with now 95% of the votes. The vote-counting is a clustercluck, but I'm not going down the conspiracy road.",Negative
Biden is your only choice?,Neutral
can you hold off a bit? was a bit early last time,Neutral
"soooo... he's going to resign from DNC and then immed. get hired as ""honorary chair"" of Buttigieg's campaign?",Positive
PATRICK IO TI PREGO TI INVOCO INIZIA A FARE SCHERZI FINO A CHE TI RIMANE FIATO ... TARTASSA QUELLA CASA DI SCHERZI E DI EUFORIA .... VACCE PESANTE SE SERVE FALLO PER NOI TUTTI #GFVIP,N/A
Bernie Sanders lost Iowa   #turnmeoninfourwords,Negative
"Iowa should not be the first, and the caucus model is stupid.",Negative
"@fellformel I too was told were we part native american. My mom told me to put it on my law school application. I didnt because I had not suffered the injustices as they did. I didnt deserve special treatment. You and Warren didnt either, but you tried to game the system.",Positive
That's not what we heard FROM Bernie's voters last time and this time we need ALL to care enough to VOTE FOR ANY DEM. So pray like you never have before because trump will destroy US and a DEM won't!!,Strong Negative
Sanders should also be raising hell in the Senate to pass protective legislation.,Neutral
Bernie has been unrealistic & inneffective/My way or no way BIDEN/WARREN HARRIS AG #VoteBlueNoMatterWho2020 4 DECENCY Dump Trump CULT COWARDLY GOP Senators #Education #TeaParty #AARP #Veterans #MeToo #GenX #Millenials #marchforourlives #Independents #Indigenous #P2 #Latino #BLM,Strong Negative
"The clearest lesson of this primary, is the people making the broadest declarations about cultural/racial voter preference continuously being the most wrong take.",Strong Negative
Oh please. Trump wants Sanders to win so they can run 10000 ads calling him a socialist.  End of story,Negative
"Unfortunately, the answer is yes. Especially when the sentencing is being determined by a liberal-left, socialist democrat judge; to a personal friend of our current President-a known D.C. beltway outsider Conservative, forced to run as a Repulican.",Negative
"I will #VoteBlueNoMatterWho. If a Dem doesn't win the election, our democracy is done. There is no doubt in my mind. Trump will take revenge on the Dems by destroying all of the social benefits we hold dear. He's a sick man.",Strong Negative
Unity=BIDEN/WARREN HARRIS AG KLOBUCHAR SOS BUTTIGIEG HS CASTRO DHHS #VoteBlueNoMatterWho2020 4 DECENCY Dump Trump CULT COWARDLY GOP Senators #Education #TeaParty #AARP #Veterans #MeToo #GenX #Millenials #marchforourlives #1u #Independents #Indigenous #P2 #Latinx #BLM #LGBTQ,Neutral
Which who divided and mostly depressed.      A few like warren.  Some Bernie.  Some Bloomberg/Biden.  But# all ( black and white and Latino young and old.  Wish someone more Inspiring,Neutral
The only reason @realDonaldTrump pardoned @governorrod Blagojevich was for a quid pro quo for the next Democrat President to pardon @Trump .,Neutral
"I am 100% confident that there is no way he's going to pick gabbard. You will see. If there are actually real living human beings that are hoping for this, I don't know what they are smoking. But I think it's got to be a disinformation campaign.",Negative
"Someone on this hellsite floated Gabbard as Bernie's running mate, and now I want to walk into the lake.",Strong Negative
nobody likes it when I casually mention that every single presidential candidate is a republican (except sanders who is basically just a democrat 100 years ago),Strong Negative
Oh hey cool I can early vote starting tomorrow! Not an ex but still voting for Warren :),Positive
50 bucks to  Warren!,Neutral
"The corpse of Biden that is, His wife should pull him from the race.",Negative
"Thats why i am annoyed of bernie bros. Im for sanders but his base is like the blue maga crowd but minus the stupidity and believing in false info stuff, just equally passionate about their candidates.",Negative
Bloomberg at least isn't a filthy socialist.,Strong Negative
I have a lot of questions about Bloomberg using Obama in his ads,Neutral
CNN is like the obsessive boyfriend who won't let go of the ex (Biden). Let it go! @Bakari_Sellers @KirstenPowers @andersoncooper @JenGranholm,Negative
No thanks to both of those names. I like Yang because he can reach both sides.,Positive
Any Democrat for President,Neutral
"Trumps also put some of his money to good use, but a lot of it has been put to bad use   Mike bloomberg is no different",Neutral
The media sees that biden is toast. So they escalate bloom to suppress Bernie.,Negative
Debate about to begin between state Rep. Dan Brady and his GOP primary opponent David Paul Blumenshine. pic.twitter.com/TQdPj1pUVv,Neutral
But Bloomberg has pledged his money and resources to whoever the nominee is it's very sad that people are saying Bloomberg based on a bunch of TV ads because he hasn't even debated,Neutral
he really wanna touch the bloomberg,Negative
You are the only politician less like able than joe Biden.,Strong Negative
"Indeed, but we read from left to right, not vice versa, and Bernie had to rise one place if Biden has fallen two places.",Positive
The eventual Dem Nom may be too weak to defeat Trump.,Negative
Hell no. There will be ads on black  radio how racist  Bloomberg was/is to suppress turnout. If he gets nominated the campaign  will be who is most racist. Ppl will get totally disgusted,Neutral
"Sir do you not feel the fear in most of US? The country is burning....being destroyed by these traitors!  You and the other leaders in Dem Party need to get together, get the ex Presidents and lead US in mass demonstrations!  #Resist",Neutral
"Bloomberg is a capitalist only when it concerns himself, but socialist when it comes to everything else (though not as extreme as Sanders).",Strong Negative
DO NOT NUT ON MY GLASSES I NEED DEM TO SEE,Negative
"Lol, no. Black people know Sanders isn't our guy.",Positive
"Methinks you are so ingrained in Bernie that you can't see anything else as possibilities. BTW, amazingly Sanders has gained almost a thousand votes in Black Hawk county with now 95% of the votes. The vote-counting is a clustercluck, but I'm not going down the conspiracy road.",Strong Negative
Anyone: [asks me about my political views] Me: [In Hank Hill voice] do I look like I know what a buttigieg is,Negative
