text,state
"South Carolina TV airways are beginning to be invaded by Democrats colluding with the Russians. These Communists (Sanders, Warren, Buttigieg, Bloomberg) are telling South Carolina Folks that they will provide them ""FREE"" when they make them their leader. Help beat them back.",southcarolina
He's now behind Sanders. Plus Iowa is like a pinprick. If Biden wins South Carolina he will probably be the nominated one.,southcarolina
I'm honestly wondering what happens if it comes down to Sanders and Buttigieg in South Carolina. Will Bloomberg still be around then? Or Warren?,southcarolina
"They have moved everyone up, Nevada has their stupid caucus before South Carolina primary this year.   They also moved Super Tuesday up two weeks, making it even more important New Hampshire realize that hope and change of a Woman president needs their help. ASAP.  pic.twitter.com/4dOqstNEh8",southcarolina
Bill Clinton lost the Iowa caucus too. Big test is going to be the South Carolina black vote.,southcarolina
"The two are employing different strats. People say Pete just isn't doing well with poc voters. The first two states are extremely white (no offense just the numbers). Places like California, South Carolina, the south. And for the south Buttigieg is a gay man. A lot to be decided",southcarolina
"Why are we talking about Bloomberg, Carolina?   It's this lack of focus that causes people to complain about you at work.",southcarolina
I highly boubt biden is the one who is going to win the nomination though i admit that's not based on much more than peoples general reactions to biden. I dont think theyd diserve to lose if they put biden up. Biden being a do nothing on issues like climate change is better than,alabama
"As a Democrat, I have never been a fan of @BernieSanders and watching #AMJoy this morning,  his campaign manager is only solidifying my position. Ideas not terrible, communication is horrific.",alabama
"As a Democrat, I have never been a fan of @BernieSanders and watching #AMJoy this morning,  his campaign manager is only solidifying my position. Ideas not terrible, communication is horrific.",alabama
I highly boubt biden is the one who is going to win the nomination though i admit that's not based on much more than peoples general reactions to biden. I dont think theyd diserve to lose if they put biden up. Biden being a do nothing on issues like climate change is better than,alabama
"annnnd you can now hear the ""pin"" drop as those that want to run the Country, can't even run a caucus....",arkansas
WTH!!!! Another democrat. Probably has everyone do everything for her!!!,arkansas
All focus should have been about winning the next election. Instead they have sacrificed Biden in a doomed mission. I don't see the US electing a communist or a delusional liar so that leaves Pete,arkansas
"Do you want someone who appeals to 16% of the population? Or do you want someone who appeals to 60% of the population?  In binary, the more of them voting for us the Less they have voting for them. If Sanders is the nom, that 42% goes to trump. If yang. That 42% comes from trump",arkansas
not likely. The Biden's on the other hand... May not wind up as fortunate.,arkansas
PATRICK E FABIO TESTI HHAHAHAHHAHAHAHHAH #gfvip,arkansas
"So Klobuchar has a limited name recognition it would seem...but those that know her like her.  This admittedly a very flattering poll for Amy, but more will be checking her out after New Hampshire perhaps? pic.twitter.com/ppt8UaWJTD",arkansas
"them from the debates because of money requirements. And polling requirements. Because money requirements kept them from getting to the the debates. , they got no exposure so they did not do well in polls. Sanders set it up. So that only people who could raise a lot of money as",arkansas
#UkraineFinalPiece kust watched the video in which Glen Beck thoroughly explains the DNC corruption and the link with Biden.,arkansas
I hope that's true as the corrupt Democrat party leaders were trying to screw him over.  Honesty is needed in our elections so everyone needs to keep their eyes on Democrats and NOT worry about THE RUSSIANS!,arkansas
This is where Marxists like @MikeBloomberg received his commandment to outlaw Guns.  Poor little Dunce is now working for Vladimir Putin while honoring Vladimir Lenin & Karl Marx.  #Bloomberg #bloombergfacts #bloomberginnovationindex #MikeBloomberg #MikeBloomberg2020pic.twitter.com/RBHP2ncKnZ,arkansas
@ninaturner the polls had Bernie with a lead in Iowa. THE DNC IS SCREWING HIM ONCE AGAIN!  I WILL NEVER VOTE FOR THAT CORPORATE MOTHER F#CKER BUTTIGIEG!   I WOULD RATHER VOTE TRUMP OUT OF SPITE!  BERNIE/TULSI 2020 OR BUST!  Peace out.,arkansas
America has a chance to save the forrest and the trees with Bloomberg. The fact he made serious cash is of little concern to me. Trump/ Bloomberg debates would end Trump's peverted hold on a whole parcel of good Americans. The union man specifically.  Moms for the children too!,arkansas
"Whatever u say whatever u do u will always be the petty crook who got impeached. The narcissist too stupid to hide his crimes. The joke the world laughs at. The victors write history my friend. If Dem is next they'll crucify u, a Rep will distance themselves, blame u 4 whats next",arkansas
You might want to look up Biden's resume before you embarrass yourself.,arkansas
"He does; he plans on taking away what little some have and going back to his cronies getting wealthier, claims being denied, people forced to use Emergency Rooms for primary care, and many more people dying because they can't access care. That's his plan.",arkansas
His caucus crowds were strong: In size and in energy! #PeteForAmerica,california
So Bloomberg is doubling his Ad budget...cool. Waste that money. Does anyone ever pay attn to those ads? Most people record shows and fast forward LOL,california
What exactly does Biden have to do with this? A private citizen that I don't support. The Grab Em By The Pussy guy is my focus. He's a criminal.,california
Well.. Sine everyone else is doing it... I'm really proud of my victory at the caucus tonight.,california
"Biden might be going away, but after what Trump and his goons have done to him, let's beat their dumb asses for Joe!",california
Biden handed their asses to them. #Facts,california
"Welcome to the caucus, where the rules are made up and the numbers don't matter!",california
Some one come check Biden in worried,california
Biden was sullied to death. Will Romney endorse Bloomberg next?,california
That is all biden ever  was  was a flat out liar.him and obama both.obama made him the vp for just that reason .,california
"As I will never capitalize democrat, I will never capitalize romney.   Neither deserve the honor bestowed by the English language in the form of proper noun. They are just nouns.",california
"Where's Warren and Amy? Warren finished a respectable 3rd in Iowa, not 7th",california
"If he wants to become a Democrat, great. One less seat to flip",california
Saw someone say the caucus made sense back in the day because they did it in a tavern.  They didn't elaborate,california
"Just. Another  Democrat that cares nothing about America's safety. Pete Juda bug will take our guns,ammunition and close practice ranges so much for gun safety. He has discussed putting a50 % tax on firearms and a 75% tax on ammunition.Who will control our animal population.",california
This caucus shit has me honkin' like a goose!,california
"Ok, who's ready for a Democrat president!?",colorado
Investigate @ICEgov??? #Bloomberg & his policies get ppl killed!,colorado
"Lol give me a fucking break. He is married to Reagan/Cheney counselor and hangs out with David Brock and Mary Pat Bonner. If any prospective Dem voter knew the absolute slime he kept company with for decades in one of the more cynical examples of party careerism, they'd pass",colorado
@AriMelber Your battering of Bloomberg's manager was the absolute most disappointing segment EVER by MSNBC.  I always had respect for you but it has been harshly tarnished. Treat people with respect and dignity.   Let them answer.  Everyone makes mistakes and everyone can change.,colorado
If it is so moot people like yourself wouldn't be whinging about it none stop. The caravans full of illegal aliens was a big problem until Trump fixed it. He made Mexico stop them. Do you forget the last three years and dealing with this monstrosity. I do. They even threw rocks..,colorado
Isn't New Hampshire democrat country?  BEAUTIFUL!!,colorado
So is Warren.,colorado
"Every time they show Iowa caucus footage set in a school gym, I get real anxiety about middle school Phys Ed",colorado
"Bernie and his supporters love, love, love the caucus system and fought to keep this undemocratic voting system in place.  Now that he may not win, you're not liking it so much.  Boo hoo.",colorado
"Is he not the Governor of Virginia? Also, the top Democrat in the state?",colorado
"Haven't done any calculations about the final alignment popular vote, but if I had to eyeball it I'd think Sanders has a large enough lead to maintain it. But it could be pretty close.",colorado
"The shipment of white pointed hats failed to arrive in time for the  SOTU. A Dem shipping company, no doubt.",colorado
Every candidate they have is terrible less guard and yang who are very bad but not terrible.  Trump takes the win slam dunk and $100 bet to any takers,colorado
Pity. Other than Gabbard she seems like the only normal dem running.,colorado
I hope Sanders implodes.,colorado
Yes I'm leaning towards a Bloomberg nom as well. He trolls Trump which is delightful to watch! Bloomberg knows how to handle Trump which also gives him a leg-up on all the other candidates. I want the one who can beat Dotard in November.,colorado
"Look, I don't know how anyone is suprised at this point.  All of these people are in the same boat.   Democrats are the party of lucifer.  The rational ones like Tulsi Gabbard are chased away.  But all of them are evil.  The devil can no longer hide his horns.",maine
Investing in a good mattress is a must,maine
"You know what? Candidates like Yang, @SenSanders @TulsiGabbard should be the future of our party. They get it. We all know they get it. Instead, we get to hear #RePeteButticheat pontificate endlessly bc #PetesBillionaires say so & everyone think Iowa likes him.",maine
I'm just curious... what is it about HIM that makes people put HIM before the best interest of America? I truly don't understand. I wouldn't defend a Dem President if he did wrong or if he threatened our American way of life. I don't understand u all. Our Country should be FIRST,maine
Democrats might well believe in unicorns  I'm not going to worry about one attacking me  Bloomberg is a repulsive little weasel who thinks he can run your life better than you can  Trump would love to run against him.,maine
Absolutely.  Vote blue no matter who or if you are repub or dem.  We need a total cleansing of the WH and Senate. 3 years has been way tooooooo much! Is there anyone out there that feels good about how trump has treated them that has worked with him?,maine
It sounds like the DNC is choosing Mayor Pete since Biden has crashed and burned so bad they can no longer get away with fake polls or carrying his water without being laughed out of the room.,maine
Revenge list begins:  1. Get Hunter Biden travel revords 2. Fire LTC Vindman and his brother 3. Fire Borden Sondland 4. Senator Mitt Romney 5.  #TrumpsVengenceBegins #Vindman,maine
He like his DemocRAT partners got to pretend tgey where doing some moral good when they all knew a case for conviction was not made and no real crimes were charged. So Romney gets to ride what he call as moral high horse while accomplishing nothing but self gratification,maine
"So does everyone get that Elizabeth Warren did really, really well in Iowa? Or no? Okay. Go about your fight boys, ladies onward.",maine
Bloomberg will eat Trump & spit him out.,maine
"Did Bernie win Iowa? Is he likely to win New Hampshire?   Is these DNC slow to finalize Iowa results so Bernie doesn't have too much momentum going into SC, Biden's ""firewall""?  Why does Biden need a firewall?",maine
Pete with no path after  NH? No one thought he'd do as well as he did in IA. The consenus was Bernie or Biden would win.,maine
Nobody knows how Buttigieg could win because the only way possible is by him cheating  There is no other explanation because that is the explanation,maine
"By GOP logic there is nothing wrong with what Biden did. So why are they investigating him more then the president? Never mind, stupid question.",maine
"Yes, Mike Bloomberg is a short liberal .  Hardy, har, har.",maine
"What I mean is that THIS count is the numbers that Buttigieg went off. Sanders has a different set of polling that rounds him much higher. I'm figuring when the next 30 % comes out, Bernie will be on top with 28, and Buttigieg next with 26/27",massachusetts
"There was some magazine that did a photospread with Pete Buttigieg, and the accompanying caption read ""Blandness can sizzle.""",massachusetts
"Instead of watching the SOTU, I will be playing video games and making a donation to Bernie Sanders.",massachusetts
Prove that one of your democrat-socialist candidates can win in the electoral college...PROVE IT!,massachusetts
You're picking the individual poll where Biden had the worst performance and comparing that to the outcome.,massachusetts
Per Gravel: Pete Buttigieg has 1 percent support among Latino Democrats. Donald Trump got 28 percent among Latinos in 2016.  Pete Buttigieg has 0 percent support among black Democrats. Donald Trump got 8 percent among black voters in 2016.  Trump would humiliate Buttigieg.,massachusetts
The Red Sox handling of the Mookie-Price trade might be a bigger disaster than the Iowa caucus. Discuss.,massachusetts
Incredible forced error from the Biden campaign.,massachusetts
"Yes.They know he is positioned to overtake them all after the first 4 states primary/caucuses,which he did not enter because he started late.They are treating him like a fellow candidate.They know he's starting to suck the oxygen out of the room, the he's for real.THEY'RE SCARED!",massachusetts
@SenatorRomney I live in Mass. Usually vote Democrat but voted for Romney. He gave us health care and with this vote has justified my belief in his judgement. Thank you Mitt,massachusetts
"He was presumably about to say something like ""Indiana Mayor Pete Buttigieg""",massachusetts
Iowa caucus: be nice for second choices count. New Hampshire primary: folks have only one vote. Debate strategy changes from bouquets to baseball bats. @juliemason @POTUSPressPool,massachusetts
Sanders' biggest risk is the moderates candidates coordinating effectively.,massachusetts
Who is Pete buttigieg,massachusetts
So frustrated about all the bs attacks from Bernie supporters on Warren when she actually tried to chart out a legislative party for M4A. Constantly claiming she was backpedaling while we all knew Sanders would have to do the same or just never see it become law.,massachusetts
@SenatorRomney I live in Mass. Usually vote Democrat but voted for Romney. He gave us health care and with this vote has justified my belief in his judgement. Thank you Mitt,massachusetts
"Methinks you are so ingrained in Bernie that you can't see anything else as possibilities. BTW, amazingly Sanders has gained almost a thousand votes in Black Hawk county with now 95% of the votes. The vote-counting is a clustercluck, but I'm not going down the conspiracy road.",minnesota
Bloomberg will eat Trump & spit him out.,minnesota
Biden is your only choice?,minnesota
No. In and out baby,minnesota
Who the fuck is actually voting for Buttigieg tho? #IowaCaucas,minnesota
I cannot wait!,minnesota
"I am not saying he didn't. Who said ""sanders did not win the popular vote?"" I find this whole Iowa system to be ridiculous  in every way.",minnesota
Thankfully he move out of Massachusetts. Unfortunately we have the embarassment of Lizzie Warren and Markey. Never mind McGovern. God help us!  How do they get into office?,minnesota
Anyone: [asks me about my political views] Me: [In Hank Hill voice] do I look like I know what a buttigieg is,minnesota
Maybe pick a dem candidate and support the hell out of them.,minnesota
Welcome aboard! The Dems have to be big on dividing people-its all they have . Dem party platform is  socialist goals( really communist)  and dividing people is part of a 50 year communist plan to get your freedom and power. It's amazing if one looks up CPUSA goals from the 60s,minnesota
"Want to vote in the NY Presidential Primary on April 28th? You need to be registered with a party to do so. Register with a party or change your affiliation by this Friday, February 14th, to VOTE! ",minnesota
"Well, thats...jumping the shark on a run. Biden going 0 for 3?",minnesota
"Yes, it was the trial that was divisive, not the bigotry and the crimes.  Bloomberg, you suck.",minnesota
Bernie Sanders lost Iowa   #turnmeoninfourwords,minnesota
"So no one saw the video because it wasn't ""Biden snubs climate protestors""    Who cares about video that is real ""Climate Protestors scream and yell then snub Joe Biden when he goes to talk to them""",minnesota
"@MSNBC @HardballChris Bernie Sanders Defines Democratic Socialism, Says When The 99% Stand Up Against the 1% We Can Transform Society",northcarolina
"What movement? Yang ain't running on a progressive platform, and most of his online supporters have been attacking Sanders' people for months.",northcarolina
"I just told you that he tried to do that but couldn't. Because things are VOTED FOR, a MAJORITY rules, not just Bernie Sanders. You can look at ANY house rep's or senator's history and find them voting for acts that contain bills they do not agree with.",northcarolina
"You are correct though.  What you left off was hope that REAL Republicans would act against those Trump Republicans that have taken over the appearance of what Republicans represent.    Either way, a ONE party system is no god damned good for anyone, Democrat or Republican.",northcarolina
Fuck it! A Sanders-Williamson-Klobuchar-Yang-Gabbard ticket!  The only polycule I will ever support!,northcarolina
I cannot wait!,northcarolina
Shes voting Democrat when most of them want 3rd trimester abortions. She seems greatly Ill informed?,northcarolina
"Citi Trends, even. They STILL playing that commercial with Dem Franchize Boyz in it.",northcarolina
"they've been straight up reporting the iowa results as a buttigieg victory since tuesday, which is now much harder to do because of the AP projection. again, this obviously isn't an unalloyed positive for sanders, which is why i said ""not all bad news.""",northcarolina
Stay fight. I am in a Dem district. Winning one vote at a time! We can make the country red.,northcarolina
Did Warren supporters ask for your advice?,northcarolina
its like how in UK elections some constituencies r bigger than others. in some areas the votes for buttigieg count for more than they would in other areas. also there are arcane rules for deciding tied or narrow local votes whihc sometimes come down to rounding up or coin tosses,northcarolina
"For Sanders, quite a moment. I was with him in Iowa years ago when he drew a small crowd at the Drake diner. His strategist, months earlier, was running a comic book store. Clinton seemed inevitable and his support was fledgling, to say the least. Now he commands a movement.",northcarolina
"Joe Biden was simultaneously caucusing in Iowa, Ohio, and Idaho last night his numbers might be skewed.  #IowaCaucas",northcarolina
"The DNC rigged 2016 against Bernie. Electoral College robbed Hillary that same year. Bloomberg is trying to buy the presidency. Caucus results are often determined by coin flip.    The US is not ""democracy"".",northcarolina
He doesn't take huge sums of money from a super pac.... Bernie and Biden are the ones with Super Pacs,northcarolina
"@JoeNBC @HardballChris @smerconish how ironic would it be to have final 3 Pres. Candidates be A Socialist (not Democrat), a Fascist (Dem turned Republican) & an Independent (Republican turned Dem. then Ind. )?  What does this say about both major parties in New Century?",oklahoma
"Bernie Sanders will be the Democratic nominee. However,the DNC could screw him.",oklahoma
"@JoeNBC @TheLastWord @maddow @HardballChris @chrislhayes @SteveKornacki voters held their nose when they nominated Mondale, Dukakis, Kerry Humphrey when Hart, Biden, Dean and McCarthy all obviously better politicians. Perhaps they have learned their lesson that Biden not it.",oklahoma
Pete Buttigieg thinks the Coase Theorem is real,oklahoma
Biden has a career now?,oklahoma
"They DID have 2 smaller earlier caucuses for some of those who were unable, for various reasons, to attend the actual evening caucus.    But I agree that the caucus process is pretty much outdated and should be replaced w better options",oklahoma
@HardballChris @DNC @maddow @SteveKornacki @NateSilver538  ENTIRE primary system has become SCREWED UP. There should be TWO weeks between primaries to allow voters time to digest previous results and ask new questions. Time to eliminate #IowaCauscus #NewHampshirePrimary kickoff,oklahoma
#Debate is Biden slurring his words ? Seems to be struggling to speak clearly when forced.. @JoeBiden,oklahoma
Then look at Biden and Sanders.,oklahoma
This needs to be one of the primary political spots on tv for the Democratic candidate.,oklahoma
"This is great. Biden has nothing to lose at this point, so hopefully he goes after Pete tonight like his life depends on it.",oklahoma
Why is Biden still at the middle podium?,oklahoma
Apparently this gal giving the Democrat Response was sequestered during the #SOTU2020,oklahoma
Ummm....I thought you were at least pretending to be a Democrat?  I believe our party picked someone to respond to Trump's speech and.....it wasn't you! What's the word I'm looking for here?  Chutzpah?,oklahoma
The 60s hippies that are running colleges and the Dem party.,oklahoma
Bernie Sanders is backed by Cornell West as well as Nina Turner who advocate for reparations and wants to call for a committee to determine what would be the appropriate form of reparations (same as Steyer) instead of just a blank check. And racism? MLK was a democratic socialist,oklahoma
Bernie Sanders lost Iowa   #turnmeoninfourwords,tennessee
"Wow! Dozens of Democrat #Baltimorons won't vote for Trump. Breaking news. Great reporting @baltimoresun. How many stories has @baltimoresun broken regarding the corrupt officials of @BaltCityHall, @BaltCitySchools or @StateMaryland?? Zip, zero, nada.",tennessee
Biden is your only choice?,tennessee
"Iowa should not be the first, and the caucus model is stupid.",tennessee
PRICELESS! Commie Warren loses again. That woman could never tell the truth and never will.,tennessee
"Want to vote in the NY Presidential Primary on April 28th? You need to be registered with a party to do so. Register with a party or change your affiliation by this Friday, February 14th, to VOTE! ",tennessee
"It's ok, he is a Dem, no big deal if one of their own does this crap.",tennessee
"Well, thats...jumping the shark on a run. Biden going 0 for 3?",tennessee
"@fellformel I too was told were we part native american. My mom told me to put it on my law school application. I didnt because I had not suffered the injustices as they did. I didnt deserve special treatment. You and Warren didnt either, but you tried to game the system.",tennessee
can you hold off a bit? was a bit early last time,tennessee
"Methinks you are so ingrained in Bernie that you can't see anything else as possibilities. BTW, amazingly Sanders has gained almost a thousand votes in Black Hawk county with now 95% of the votes. The vote-counting is a clustercluck, but I'm not going down the conspiracy road.",tennessee
PATRICK IO TI PREGO TI INVOCO INIZIA A FARE SCHERZI FINO A CHE TI RIMANE FIATO ... TARTASSA QUELLA CASA DI SCHERZI E DI EUFORIA .... VACCE PESANTE SE SERVE FALLO PER NOI TUTTI #GFVIP,tennessee
That's not what we heard FROM Bernie's voters last time and this time we need ALL to care enough to VOTE FOR ANY DEM. So pray like you never have before because trump will destroy US and a DEM won't!!,tennessee
"The Nashville Flea Market Vendors Association supports racing. However, the Flea, its vendors and customers are our primary focus.",tennessee
"soooo... he's going to resign from DNC and then immed. get hired as ""honorary chair"" of Buttigieg's campaign?",tennessee
Thankfully he move out of Massachusetts. Unfortunately we have the embarassment of Lizzie Warren and Markey. Never mind McGovern. God help us!  How do they get into office?,tennessee
Great breakthrough in Iowa's caucus! #IowaCaucusDisaster #IowaCaucas #IowaCaucuses2020pic.twitter.com/eIaYdGt4pV,texas
"#Bernie2020 @SenSanders if they successfully cheat you out of this nomination, you have no choice but to run Independent. Because NONE of us will be voting Democrat. You & @TulsiGabbard as the Independent or Green ticket would win in a landslide.",texas
Lmao I said the same thingpic.twitter.com/mz5BPw2OLJ,texas
big shocker the amazon owned paper is censoring yang,texas
Union is stronger with President. Democrat Socialist have no unity,texas
"bet lets get itttt, we'll start planning it at the end of this month",texas
That only helps if an Independent like Bernie runs that can defeat both Republican & Democrat.,texas
I ment no. Exclude my vote I see Yang and I type yes!! My ape roots are strong!!,texas
Grandpa Biden... Is Not Funny!,texas
"#Sanders #Buttigieg almost tied for state delegates, #warren in third. #Sanders in first for popular vote #IowaCaucuses2020",texas
glad we all got to spend it with you  bro,texas
Buttigieg brings nothing to the White House that we or the world can live with.,texas
"So many people think voting is mandatory, but if it ends up being Trump vs. Buttigieg? Fuck both of them.",texas
We doing our best!!  gotta keep Josh outta dem beignets though,texas
Biden getting smoked in these returns. Now we know why his campaign was casting doubt on the  results.,texas
lets make it happen an i'll cop the ticket,texas
Pete gained the most people during the caucus. He is the unity candidate.  #TeamPetepic.twitter.com/MHxmVaqc48,utah
What did burisma get out of joe Biden besides getting the prosecutor fired ,utah
"With the incredible show of competence by this President, and the equally incredible lack of competence displayed by the #Democrat party leadership, #Trump2020 is a given. So today, supporters of @realDonaldTrump should work to get #Trump2024 trending. I'm game...are you? RETWEET",utah
